id,transaction_id,utr_number,amount,payment_type,payment_date,updated_at,student_id,subscription_id
187,"",LU92 832L 49I5 BOZZ 3B49,16.00,OnlineBanking,2022-03-29 00:00:00+05:30,2022-03-12 00:00:00+05:30,691,4
188,"",LU25 711O WRAO CCW2 LNEB,696.00,OnlineBanking,2022-12-07 00:00:00+05:30,2022-09-28 00:00:00+05:30,177,3
189,"",FO90 8322 2110 3374 49,82.00,CreditCard,2023-01-19 00:00:00+05:30,2022-08-17 00:00:00+05:30,891,5
190,"",SM67 G986 3135 713V UC9Z BD4P LD6,15.00,UPI,2022-10-09 00:00:00+05:30,2023-03-07 00:00:00+05:30,623,3
191,"",GE86 UG98 7690 0523 9070 66,799.00,UPI,2022-08-09 00:00:00+05:30,2022-05-19 00:00:00+05:30,281,3
192,"",AL04 2004 3320 WGHT 2QPS 6VXA HMYC,351.00,OnlineBanking,2022-05-28 00:00:00+05:30,2022-07-29 00:00:00+05:30,791,3
193,"",SM66 W514 5723 7606 KYD5 JNMD 3QM,936.00,UPI,2022-04-01 00:00:00+05:30,2023-02-14 00:00:00+05:30,921,5
194,"",GR03 1307 4003 SMYJ X8VN UXT3 UWK,361.00,OnlineBanking,2022-03-09 00:00:00+05:30,2022-04-22 00:00:00+05:30,12,4
195,"",CY16 2873 2394 ZAZE PI40 SQZS LHIF,660.00,DebitCard,2022-06-22 00:00:00+05:30,2023-02-09 00:00:00+05:30,925,5
196,"",SA92 529C 1KWL 5SFH 3GTR APX2,765.00,DebitCard,2022-12-18 00:00:00+05:30,2023-03-02 00:00:00+05:30,269,2
197,"",SA62 40VE TNUG UEBE 7JNX DVNU,443.00,OnlineBanking,2023-03-04 00:00:00+05:30,2022-12-25 00:00:00+05:30,961,4
198,"",SK32 9544 0374 1462 5467 0309,473.00,OnlineBanking,2022-05-11 00:00:00+05:30,2022-03-13 00:00:00+05:30,323,4
199,"",LV87 XDZK QGGJ FLOY Y8SO G,212.00,OnlineBanking,2022-08-22 00:00:00+05:30,2022-10-25 00:00:00+05:30,978,3
200,"",FR11 9487 5204 86RV UTBN UDMS E68,824.00,OnlineBanking,2022-09-01 00:00:00+05:30,2022-10-21 00:00:00+05:30,711,3
201,"",TN09 0129 7288 1261 7001 6649,926.00,UPI,2022-04-27 00:00:00+05:30,2022-05-09 00:00:00+05:30,532,2
202,"",MD89 IN8U CVDN GO91 LBL3 EGAA,301.00,OnlineBanking,2023-02-13 00:00:00+05:30,2022-07-13 00:00:00+05:30,83,3
203,"",BH78 SUNW N1D8 KOQN R5VH WM,588.00,OnlineBanking,2022-05-19 00:00:00+05:30,2022-05-17 00:00:00+05:30,939,4
204,"",GL95 9459 1668 8534 64,993.00,DebitCard,2022-05-22 00:00:00+05:30,2023-01-30 00:00:00+05:30,147,5
205,"",AD25 0174 9046 E58O THPX ERX7,233.00,DebitCard,2023-02-17 00:00:00+05:30,2023-02-12 00:00:00+05:30,656,2
206,"",ME07 7696 8611 5711 5398 80,177.00,DebitCard,2022-05-15 00:00:00+05:30,2022-06-10 00:00:00+05:30,175,5
207,"",PK53 QREA KPOG X047 ERLR AM7H,65.00,OnlineBanking,2022-09-08 00:00:00+05:30,2022-11-14 00:00:00+05:30,232,2
208,"",SE42 1181 2825 0340 3118 7330,945.00,OnlineBanking,2023-02-01 00:00:00+05:30,2022-03-19 00:00:00+05:30,54,3
209,"",FR25 1998 4814 84XK M3OT ZIGZ F88,918.00,CreditCard,2022-09-19 00:00:00+05:30,2022-04-02 00:00:00+05:30,829,2
210,"",DO20 Z150 0138 2881 0447 6477 1050,775.00,OnlineBanking,2022-12-10 00:00:00+05:30,2022-04-01 00:00:00+05:30,294,3
211,"",FR87 5531 9907 18NH S4OP NPZ0 A25,925.00,DebitCard,2022-06-17 00:00:00+05:30,2023-01-22 00:00:00+05:30,615,2
212,"",KW32 ZNOY KSRZ Q8MD QB51 RH61 AU9M EW,241.00,OnlineBanking,2022-04-09 00:00:00+05:30,2023-01-29 00:00:00+05:30,813,2
213,"",LV68 LQKL QM3Q KMJY JBOM Y,190.00,CreditCard,2022-04-15 00:00:00+05:30,2022-04-09 00:00:00+05:30,359,5
214,"",FR81 8580 3745 34CP JN9A BUIR I82,920.00,OnlineBanking,2022-09-20 00:00:00+05:30,2022-10-02 00:00:00+05:30,395,1
215,"",CY95 7158 9579 GFUM SW0E 3FR5 1USY,614.00,OnlineBanking,2022-08-16 00:00:00+05:30,2022-08-23 00:00:00+05:30,388,4
216,"",CR70 6803 3475 0362 8343 9,495.00,OnlineBanking,2023-01-01 00:00:00+05:30,2022-09-06 00:00:00+05:30,185,2
217,"",RS96 2779 9318 6490 1975 64,615.00,UPI,2022-05-02 00:00:00+05:30,2023-01-02 00:00:00+05:30,833,4
218,"",ES37 1936 5454 4275 5476 1808,546.00,CreditCard,2022-10-10 00:00:00+05:30,2022-09-14 00:00:00+05:30,453,5
219,"",BR98 6032 0129 9827 6963 4671 705B P,603.00,OnlineBanking,2022-10-27 00:00:00+05:30,2022-04-24 00:00:00+05:30,197,3
220,"",AL68 0424 5642 NAU3 BPC6 UZDO CY7C,373.00,OnlineBanking,2022-05-26 00:00:00+05:30,2022-07-30 00:00:00+05:30,638,4
221,"",CR78 6483 7517 5601 6833 5,847.00,DebitCard,2023-02-05 00:00:00+05:30,2022-05-30 00:00:00+05:30,467,2
222,"",GT41 NNLZ 5WN1 FFWO WCYW UWYA QQH4,310.00,CreditCard,2022-09-11 00:00:00+05:30,2022-11-02 00:00:00+05:30,464,2
223,"",FR32 8251 1867 63T1 2AGH GKHN Y18,900.00,CreditCard,2023-01-16 00:00:00+05:30,2022-10-26 00:00:00+05:30,368,1
224,"",RS36 4095 0397 9191 4305 33,327.00,OnlineBanking,2023-02-17 00:00:00+05:30,2022-04-02 00:00:00+05:30,293,2
225,"",LI74 5415 17KX AY8R R45E G,222.00,OnlineBanking,2022-09-03 00:00:00+05:30,2022-11-22 00:00:00+05:30,838,2
226,"",MC31 9582 5846 688J YCQP TX76 A80,286.00,OnlineBanking,2022-03-09 00:00:00+05:30,2022-04-01 00:00:00+05:30,198,5
227,"",AD43 1158 3832 KUE3 60ZP ISAA,585.00,OnlineBanking,2022-07-05 00:00:00+05:30,2022-08-07 00:00:00+05:30,325,3
228,"",FR32 0533 5348 02VT VFXY XR9P I82,243.00,CreditCard,2022-10-10 00:00:00+05:30,2022-05-16 00:00:00+05:30,227,4
229,"",DO83 O4KZ 3345 0385 8591 3667 1930,568.00,DebitCard,2022-08-14 00:00:00+05:30,2023-02-03 00:00:00+05:30,504,4
230,"",BA17 6552 2436 2379 1247,540.00,OnlineBanking,2022-11-10 00:00:00+05:30,2022-07-26 00:00:00+05:30,114,3
231,"",GB96 LMAG 4738 1313 9062 23,224.00,DebitCard,2022-07-22 00:00:00+05:30,2022-07-29 00:00:00+05:30,170,3
232,"",IS67 6666 6681 2043 8705 4610 76,703.00,DebitCard,2022-03-18 00:00:00+05:30,2022-08-10 00:00:00+05:30,605,1
233,"",MU48 XNUE 6445 2599 1688 6535 708T JO,751.00,DebitCard,2022-04-07 00:00:00+05:30,2022-11-05 00:00:00+05:30,528,2
234,"",KZ05 589T UQHL GYXR 6Y24,135.00,DebitCard,2022-05-17 00:00:00+05:30,2022-03-16 00:00:00+05:30,274,3
235,"",AT75 3785 1018 9261 1362,798.00,OnlineBanking,2022-08-29 00:00:00+05:30,2022-05-14 00:00:00+05:30,697,5
236,"",DK23 5054 1953 2189 68,509.00,OnlineBanking,2022-12-25 00:00:00+05:30,2022-11-18 00:00:00+05:30,41,2
237,"",BH93 XRMH 10GN XUW1 VPP0 0F,516.00,OnlineBanking,2022-11-26 00:00:00+05:30,2022-04-07 00:00:00+05:30,355,4
238,"",PT98 4003 5443 0120 0440 2482 3,20.00,OnlineBanking,2022-09-28 00:00:00+05:30,2023-01-06 00:00:00+05:30,267,4
239,"",FR45 6273 2106 56OY CUWH PVPK S04,467.00,UPI,2022-05-20 00:00:00+05:30,2022-06-28 00:00:00+05:30,934,4
240,"",GE66 VY10 3284 4497 7176 17,347.00,OnlineBanking,2022-12-03 00:00:00+05:30,2023-03-01 00:00:00+05:30,965,4
241,"",AL74 3690 2052 EBLB J3YT SU8J AUZW,81.00,OnlineBanking,2022-11-11 00:00:00+05:30,2022-03-25 00:00:00+05:30,972,3
242,"",SK11 4454 7869 4744 2790 9198,115.00,OnlineBanking,2022-05-16 00:00:00+05:30,2022-09-15 00:00:00+05:30,929,5
243,"",SM38 X356 4652 526L JFT3 2JTH YFK,584.00,DebitCard,2022-05-02 00:00:00+05:30,2023-01-20 00:00:00+05:30,346,1
244,"",FR74 2139 2188 86XG 0LMV I3BQ I54,336.00,UPI,2022-12-24 00:00:00+05:30,2022-08-20 00:00:00+05:30,72,3
245,"",FR94 7701 5618 080U XEOZ PO5O J37,160.00,DebitCard,2022-11-21 00:00:00+05:30,2023-01-11 00:00:00+05:30,501,2
246,"",BG57 UABF 0403 72YY HLUL FM,346.00,OnlineBanking,2023-03-04 00:00:00+05:30,2022-09-14 00:00:00+05:30,625,5
247,"",RO60 FTUU FACO QM31 X8JJ 1OMV,8.00,OnlineBanking,2022-06-07 00:00:00+05:30,2022-06-12 00:00:00+05:30,277,3
248,"",AD31 1180 9117 TJSB R2BB FX03,414.00,DebitCard,2023-02-06 00:00:00+05:30,2023-02-13 00:00:00+05:30,333,4
249,"",BE86 2117 9959 9722,514.00,OnlineBanking,2022-05-06 00:00:00+05:30,2022-05-07 00:00:00+05:30,40,1
250,"",IT25 H668 2370 637W QYD8 ERXV MDU,400.00,DebitCard,2022-07-22 00:00:00+05:30,2022-04-24 00:00:00+05:30,993,2
251,"",LB87 3233 LKOV RWQB NYUB OAYS 3BDM,973.00,OnlineBanking,2022-07-11 00:00:00+05:30,2022-07-31 00:00:00+05:30,857,2
252,"",GE93 ZZ25 6913 7538 2255 18,119.00,OnlineBanking,2022-04-14 00:00:00+05:30,2022-08-29 00:00:00+05:30,322,5
253,"",BA94 9860 5332 7956 5495,627.00,OnlineBanking,2022-10-07 00:00:00+05:30,2022-04-03 00:00:00+05:30,629,3
254,"",CY29 6827 6780 J7UY 7W7G AT6R FCVA,500.00,DebitCard,2022-12-23 00:00:00+05:30,2022-09-13 00:00:00+05:30,956,3
255,"",SA63 54TW V5YQ 5VA0 56WF A4N9,270.00,OnlineBanking,2023-02-22 00:00:00+05:30,2022-12-05 00:00:00+05:30,184,1
256,"",RO15 ENDC 8VVN UKYR IAHG HIFS,298.00,DebitCard,2022-06-23 00:00:00+05:30,2022-10-18 00:00:00+05:30,3,1
257,"",MT86 NUCO 9418 7YJO ZJWC PW93 YTTJ TDO,762.00,OnlineBanking,2022-10-19 00:00:00+05:30,2022-04-01 00:00:00+05:30,728,5
258,"",EE68 1590 7281 5259 0082,334.00,OnlineBanking,2022-04-09 00:00:00+05:30,2022-12-22 00:00:00+05:30,278,1
259,"",AT93 6868 8257 1063 3902,803.00,DebitCard,2022-08-07 00:00:00+05:30,2022-12-24 00:00:00+05:30,805,5
260,"",FR08 8934 2882 21GY 0N9Z V9ZJ 704,296.00,OnlineBanking,2022-12-26 00:00:00+05:30,2022-04-03 00:00:00+05:30,359,1
261,"",KZ27 356N 04NE TVP9 JS6J,392.00,OnlineBanking,2022-12-07 00:00:00+05:30,2022-04-12 00:00:00+05:30,601,2
262,"",TR79 6561 6KJA JLQS 83KJ LT4P UE,499.00,DebitCard,2023-02-06 00:00:00+05:30,2022-05-02 00:00:00+05:30,826,4
263,"",IL16 8764 7338 4856 5621 319,708.00,DebitCard,2022-06-09 00:00:00+05:30,2023-01-13 00:00:00+05:30,158,1
264,"",NL90 UGGI 2691 7890 06,987.00,OnlineBanking,2023-02-13 00:00:00+05:30,2022-03-11 00:00:00+05:30,900,3
265,"",FR58 4928 7990 24EU ZKZJ GXSF Q29,683.00,OnlineBanking,2022-10-05 00:00:00+05:30,2023-01-05 00:00:00+05:30,38,1
266,"",KZ28 525U UT9I N1JQ SAZJ,861.00,CreditCard,2022-03-26 00:00:00+05:30,2022-08-08 00:00:00+05:30,884,3
267,"",HR29 3114 1413 1840 7006 7,106.00,DebitCard,2023-02-10 00:00:00+05:30,2023-02-15 00:00:00+05:30,379,5
268,"",BR35 1115 9474 2384 8560 5268 681Y 8,1000.00,UPI,2022-07-11 00:00:00+05:30,2022-11-12 00:00:00+05:30,480,5
269,"",GB44 TDLS 8227 7484 8014 74,256.00,OnlineBanking,2023-02-06 00:00:00+05:30,2022-05-19 00:00:00+05:30,454,1
270,"",LB97 5355 IVCJ LJH3 QPU2 RX71 TU3B,52.00,CreditCard,2022-10-29 00:00:00+05:30,2022-04-01 00:00:00+05:30,239,5
271,"",HR19 7978 4096 8544 3263 0,432.00,OnlineBanking,2022-08-20 00:00:00+05:30,2023-02-04 00:00:00+05:30,877,1
272,"",VG36 KBNH 8185 0453 2108 0144,874.00,OnlineBanking,2022-08-17 00:00:00+05:30,2022-04-14 00:00:00+05:30,353,4
273,"",BG52 RXVP 8096 278M 7RTK AA,726.00,OnlineBanking,2022-04-03 00:00:00+05:30,2022-04-01 00:00:00+05:30,223,2
274,"",DE85 1872 4890 8836 5502 18,140.00,DebitCard,2022-05-29 00:00:00+05:30,2022-05-18 00:00:00+05:30,686,1
275,"",SI24 3513 2455 3304 243,978.00,OnlineBanking,2022-10-01 00:00:00+05:30,2022-07-29 00:00:00+05:30,900,3
276,"",MK36 378Y LU3F XPOF V81,631.00,CreditCard,2022-05-25 00:00:00+05:30,2022-06-07 00:00:00+05:30,894,5
277,"",GE60 YF21 4088 0540 7367 05,185.00,OnlineBanking,2022-08-06 00:00:00+05:30,2022-09-07 00:00:00+05:30,123,1
278,"",BG93 DNQE 6638 90IJ FNR9 KE,29.00,OnlineBanking,2022-09-04 00:00:00+05:30,2022-05-31 00:00:00+05:30,231,5
279,"",PK94 SUOZ OQI3 NBSH IGEA GAVK,718.00,OnlineBanking,2022-10-03 00:00:00+05:30,2022-04-10 00:00:00+05:30,620,2
280,"",BA08 7867 7417 3563 7900,601.00,OnlineBanking,2022-12-25 00:00:00+05:30,2022-08-15 00:00:00+05:30,852,3
281,"",HU59 0677 4946 5077 4116 4591 1672,556.00,DebitCard,2022-04-27 00:00:00+05:30,2022-08-27 00:00:00+05:30,63,3
282,"",GR71 6756 941Q 6OMR HMZ8 A4FP OGZ,123.00,UPI,2022-12-04 00:00:00+05:30,2022-03-16 00:00:00+05:30,9,4
283,"",DO58 QBWM 4556 6838 6493 1872 1768,656.00,DebitCard,2022-07-11 00:00:00+05:30,2022-10-14 00:00:00+05:30,566,2
284,"",HU93 4885 0166 5149 0854 9247 3799,610.00,OnlineBanking,2022-07-03 00:00:00+05:30,2022-10-07 00:00:00+05:30,822,1
285,"",BR92 6342 6325 2103 6892 2400 336Z T,419.00,UPI,2023-02-26 00:00:00+05:30,2022-06-08 00:00:00+05:30,914,1
286,"",PK29 FLRV HDVN VJJW UACR N5DH,941.00,DebitCard,2022-05-05 00:00:00+05:30,2023-03-05 00:00:00+05:30,326,2
287,"",NL10 IPZW 1336 4905 27,432.00,OnlineBanking,2022-06-09 00:00:00+05:30,2022-07-12 00:00:00+05:30,982,3
288,"",GI33 MFYV PED2 3GA9 LFK3 ONE,115.00,DebitCard,2022-10-26 00:00:00+05:30,2022-08-03 00:00:00+05:30,421,2
289,"",BH83 ZUWX WDSP UYSF AULU UB,532.00,OnlineBanking,2022-05-29 00:00:00+05:30,2022-11-22 00:00:00+05:30,612,3
290,"",FR35 3772 6900 78LD 6YQY EMGF 169,898.00,OnlineBanking,2022-03-21 00:00:00+05:30,2023-01-27 00:00:00+05:30,315,5
291,"",EE22 2350 0264 0134 6761,41.00,OnlineBanking,2022-09-06 00:00:00+05:30,2022-06-25 00:00:00+05:30,241,5
292,"",IL43 4527 7265 5580 2772 634,413.00,OnlineBanking,2022-04-30 00:00:00+05:30,2022-06-18 00:00:00+05:30,99,3
293,"",GB93 MRKC 7520 9135 8773 57,401.00,UPI,2022-10-17 00:00:00+05:30,2023-01-31 00:00:00+05:30,487,4
294,"",FR03 5318 7465 02MY PXEK 3QZ0 L77,628.00,OnlineBanking,2022-05-19 00:00:00+05:30,2022-04-29 00:00:00+05:30,998,1
295,"",MT33 SLTE 1135 14M9 BVCZ GZHT DARV VHT,683.00,OnlineBanking,2022-10-30 00:00:00+05:30,2022-11-11 00:00:00+05:30,120,3
296,"",CH76 3590 7JRS 0UFQ PKBK 9,495.00,CreditCard,2022-05-15 00:00:00+05:30,2022-10-05 00:00:00+05:30,175,1
297,"",PT46 8926 6424 5032 6478 8693 7,994.00,OnlineBanking,2022-05-20 00:00:00+05:30,2022-05-14 00:00:00+05:30,602,3
298,"",ES55 1918 5473 6199 5305 7395,579.00,DebitCard,2022-10-24 00:00:00+05:30,2023-01-24 00:00:00+05:30,761,4
299,"",BH85 RSUL KROV 6ORH YKKJ HU,657.00,DebitCard,2022-07-22 00:00:00+05:30,2022-03-11 00:00:00+05:30,583,5
300,"",BG94 EYAS 2969 88BO TR4X RD,958.00,OnlineBanking,2022-09-14 00:00:00+05:30,2022-05-23 00:00:00+05:30,259,2
301,"",AT28 5317 4337 2375 7609,774.00,CreditCard,2022-10-15 00:00:00+05:30,2022-06-10 00:00:00+05:30,112,1
302,"",LV56 LCCT QLAW YFXG EC6Z W,584.00,DebitCard,2022-03-23 00:00:00+05:30,2022-07-28 00:00:00+05:30,212,3
303,"",CY19 1517 5528 XQ16 XFMU 65CD ASTD,761.00,CreditCard,2022-05-30 00:00:00+05:30,2022-10-08 00:00:00+05:30,435,5
304,"",BH59 TMSB 7Q9B TZQ9 II06 DJ,957.00,DebitCard,2022-06-21 00:00:00+05:30,2022-07-12 00:00:00+05:30,458,1
305,"",BA13 3322 2110 5104 5717,73.00,DebitCard,2022-12-23 00:00:00+05:30,2023-01-30 00:00:00+05:30,852,4
306,"",HU67 9113 1119 6522 4406 7287 6594,464.00,OnlineBanking,2023-02-15 00:00:00+05:30,2022-04-20 00:00:00+05:30,468,2
307,"",IT13 N771 5768 666R CHRP QWTK AZZ,894.00,DebitCard,2022-11-01 00:00:00+05:30,2023-01-02 00:00:00+05:30,998,1
308,"",PK36 LQPF QQFN NCG4 ADIU 0FWQ,730.00,DebitCard,2023-01-05 00:00:00+05:30,2023-02-06 00:00:00+05:30,765,4
309,"",PK47 RUEP 86N8 SCE0 UQW1 IPTJ,143.00,OnlineBanking,2022-12-24 00:00:00+05:30,2022-06-09 00:00:00+05:30,498,5
310,"",GE53 TC84 9655 4860 1591 39,574.00,CreditCard,2022-08-07 00:00:00+05:30,2022-04-10 00:00:00+05:30,400,5
311,"",ME08 6081 8907 3786 9806 03,941.00,DebitCard,2023-01-26 00:00:00+05:30,2023-02-01 00:00:00+05:30,570,3
312,"",ES97 7816 6725 0515 6570 2453,762.00,CreditCard,2022-09-21 00:00:00+05:30,2022-12-11 00:00:00+05:30,624,1
313,"",IE14 AOFC 4084 5454 1127 98,800.00,OnlineBanking,2022-06-14 00:00:00+05:30,2022-03-25 00:00:00+05:30,830,1
314,"",GI84 BPAA X1QM 4420 0KFA NNY,122.00,OnlineBanking,2022-07-06 00:00:00+05:30,2022-08-15 00:00:00+05:30,207,3
315,"",FR51 5536 1199 68LX EC8J 1VXG 138,254.00,OnlineBanking,2022-08-21 00:00:00+05:30,2022-04-27 00:00:00+05:30,648,1
316,"",FO84 7046 2426 2273 28,193.00,DebitCard,2022-05-04 00:00:00+05:30,2022-10-25 00:00:00+05:30,798,1
317,"",FR07 3361 4585 7433 X6HY GIM0 V64,489.00,DebitCard,2022-05-08 00:00:00+05:30,2023-02-09 00:00:00+05:30,506,4
318,"",SA63 49AI 1M7K N6LQ 7QVT SAL8,213.00,OnlineBanking,2022-06-17 00:00:00+05:30,2022-10-24 00:00:00+05:30,581,2
319,"",DE09 5268 3834 4807 4700 45,891.00,OnlineBanking,2022-08-08 00:00:00+05:30,2022-10-04 00:00:00+05:30,878,1
320,"",HU37 9289 4481 9158 6517 9084 1154,430.00,OnlineBanking,2022-05-15 00:00:00+05:30,2022-04-17 00:00:00+05:30,210,1
321,"",BE96 6093 1804 6970,262.00,OnlineBanking,2022-04-11 00:00:00+05:30,2022-09-23 00:00:00+05:30,569,4
322,"",FI25 3449 2761 6143 66,961.00,CreditCard,2022-04-25 00:00:00+05:30,2023-01-02 00:00:00+05:30,142,4
323,"",IT70 I429 6617 398V 52HL J0TI PNR,247.00,DebitCard,2022-08-17 00:00:00+05:30,2022-10-31 00:00:00+05:30,139,2
324,"",SE78 7937 1895 5344 8439 0941,199.00,DebitCard,2022-11-14 00:00:00+05:30,2022-06-11 00:00:00+05:30,14,1
325,"",TN25 1807 6019 0169 2626 0482,413.00,OnlineBanking,2022-09-03 00:00:00+05:30,2022-10-30 00:00:00+05:30,769,4
326,"",FI90 3132 1877 3243 49,701.00,DebitCard,2022-06-24 00:00:00+05:30,2022-07-10 00:00:00+05:30,91,1
327,"",FR10 5906 7956 82B5 M2TT JEHR H21,745.00,DebitCard,2022-04-17 00:00:00+05:30,2022-05-24 00:00:00+05:30,381,3
328,"",EE74 5022 7243 3413 3848,585.00,DebitCard,2022-07-09 00:00:00+05:30,2022-08-24 00:00:00+05:30,249,1
329,"",AE07 6972 2229 9658 8032 858,294.00,DebitCard,2022-08-19 00:00:00+05:30,2022-04-15 00:00:00+05:30,249,2
330,"",IE52 PDKA 6220 3170 1165 22,304.00,OnlineBanking,2022-12-28 00:00:00+05:30,2022-08-24 00:00:00+05:30,51,5
331,"",SK27 9197 4710 3629 7047 7828,712.00,OnlineBanking,2022-05-31 00:00:00+05:30,2022-08-01 00:00:00+05:30,204,3
332,"",DK56 3483 1466 9133 94,709.00,OnlineBanking,2022-12-22 00:00:00+05:30,2022-05-14 00:00:00+05:30,515,5
333,"",KW33 JUUP J9D4 8MK7 UC6L TXBA HYSL ZP,40.00,OnlineBanking,2022-04-17 00:00:00+05:30,2022-09-15 00:00:00+05:30,166,4
334,"",MC85 3525 8869 93IG 7BMI YTRX E72,940.00,DebitCard,2023-01-05 00:00:00+05:30,2022-05-27 00:00:00+05:30,881,1
335,"",FR07 8906 1908 32FJ AEGO WXJT V00,785.00,OnlineBanking,2022-11-22 00:00:00+05:30,2022-07-15 00:00:00+05:30,9,5
336,"",AE86 2709 0543 5265 8718 635,698.00,OnlineBanking,2022-07-09 00:00:00+05:30,2022-06-30 00:00:00+05:30,810,3
337,"",MT94 NPBI 3699 3RQP ZIQ3 WDSR 6BBM VQQ,198.00,DebitCard,2022-03-25 00:00:00+05:30,2022-04-23 00:00:00+05:30,959,1
338,"",MR56 0507 6400 6378 4516 6441 772,712.00,OnlineBanking,2023-01-05 00:00:00+05:30,2022-12-20 00:00:00+05:30,76,4
339,"",LT13 2969 2630 6746 9704,141.00,OnlineBanking,2023-02-23 00:00:00+05:30,2023-02-18 00:00:00+05:30,751,4
340,"",FR47 6602 3301 17VK 1PQX JJWV A36,538.00,OnlineBanking,2022-09-23 00:00:00+05:30,2022-09-11 00:00:00+05:30,961,1
341,"",MK74 068P KRIQ Q3OS X04,265.00,DebitCard,2022-03-25 00:00:00+05:30,2022-03-30 00:00:00+05:30,259,5
342,"",PK83 FZBM 7MLH PIPR RHVN MLLS,489.00,OnlineBanking,2022-06-17 00:00:00+05:30,2022-09-27 00:00:00+05:30,451,1
343,"",SE09 1777 4570 3153 4888 2816,870.00,DebitCard,2023-03-01 00:00:00+05:30,2022-09-07 00:00:00+05:30,467,5
344,"",RS03 0999 1459 2041 5243 79,904.00,UPI,2023-01-01 00:00:00+05:30,2022-10-02 00:00:00+05:30,210,5
345,"",SK95 3185 3058 9736 4524 3374,113.00,UPI,2022-08-25 00:00:00+05:30,2022-11-26 00:00:00+05:30,958,1
346,"",KZ34 506P FFWX SSIR 2QCO,128.00,OnlineBanking,2022-12-16 00:00:00+05:30,2022-10-10 00:00:00+05:30,529,1
347,"",GR37 5386 645K CH1M SYN8 XRVO AMO,916.00,OnlineBanking,2023-01-26 00:00:00+05:30,2023-02-16 00:00:00+05:30,434,2
348,"",RS54 2479 8213 5055 3992 60,460.00,OnlineBanking,2022-04-27 00:00:00+05:30,2022-05-02 00:00:00+05:30,127,1
349,"",HR75 9727 7758 5433 9675 2,454.00,DebitCard,2022-07-30 00:00:00+05:30,2022-12-04 00:00:00+05:30,232,2
350,"",BH88 IAMS 1BU5 HOKQ ULTH B5,528.00,OnlineBanking,2023-02-12 00:00:00+05:30,2022-05-06 00:00:00+05:30,785,2
351,"",RS79 1197 2121 5451 3045 89,113.00,UPI,2022-11-04 00:00:00+05:30,2023-03-04 00:00:00+05:30,540,4
352,"",LI35 8948 8Y2I BMSF IFX4 5,513.00,OnlineBanking,2023-03-08 00:00:00+05:30,2022-05-23 00:00:00+05:30,329,5
353,"",CY60 9876 6120 5ZTC AKRP VENB GFRT,70.00,DebitCard,2022-12-17 00:00:00+05:30,2022-12-14 00:00:00+05:30,565,4
354,"",FR29 1896 6263 59DK EHHY E9DS 718,663.00,OnlineBanking,2022-04-29 00:00:00+05:30,2022-11-26 00:00:00+05:30,439,2
355,"",SK52 6194 5302 4461 8152 5729,882.00,OnlineBanking,2022-11-11 00:00:00+05:30,2022-11-14 00:00:00+05:30,540,2
356,"",FO23 8709 7174 1357 25,150.00,OnlineBanking,2022-03-23 00:00:00+05:30,2022-05-04 00:00:00+05:30,529,5
357,"",BH02 OHOV ZHKY 4ROV RJ7V LF,134.00,UPI,2022-03-21 00:00:00+05:30,2023-01-23 00:00:00+05:30,513,1
358,"",RO83 PCCE SGIY CS3P 1RKD Q7VO,557.00,UPI,2022-12-13 00:00:00+05:30,2022-07-21 00:00:00+05:30,899,3
359,"",FI37 4504 6959 9450 70,418.00,OnlineBanking,2023-01-29 00:00:00+05:30,2022-10-25 00:00:00+05:30,731,1
360,"",IS35 7449 8849 6901 5653 2543 13,302.00,DebitCard,2022-03-11 00:00:00+05:30,2022-09-16 00:00:00+05:30,748,5
361,"",HR55 2846 4902 2882 5104 2,308.00,UPI,2022-08-05 00:00:00+05:30,2022-12-31 00:00:00+05:30,388,3
362,"",BE85 0788 7757 8876,953.00,OnlineBanking,2022-04-15 00:00:00+05:30,2022-07-24 00:00:00+05:30,391,1
363,"",SE85 2428 3477 7386 8194 2397,425.00,UPI,2022-07-01 00:00:00+05:30,2023-01-27 00:00:00+05:30,145,2
364,"",MC98 1091 6071 91MY Y4UG 9BVQ 375,190.00,OnlineBanking,2023-02-13 00:00:00+05:30,2022-12-28 00:00:00+05:30,711,3
365,"",SK37 7281 3983 3260 8806 5934,459.00,OnlineBanking,2022-10-12 00:00:00+05:30,2022-05-21 00:00:00+05:30,508,1
366,"",FR79 6259 6466 50C5 Z4WV M2IA O67,458.00,OnlineBanking,2022-03-22 00:00:00+05:30,2022-03-23 00:00:00+05:30,408,5
367,"",NL31 QTZK 5985 8771 51,988.00,OnlineBanking,2022-11-14 00:00:00+05:30,2022-09-22 00:00:00+05:30,112,3
368,"",SE08 3774 2444 5619 7285 6307,581.00,OnlineBanking,2022-09-23 00:00:00+05:30,2023-02-02 00:00:00+05:30,455,3
369,"",AL65 9476 9342 QLRK 8JFQ H1H1 NP35,455.00,OnlineBanking,2023-02-26 00:00:00+05:30,2022-05-24 00:00:00+05:30,417,4
370,"",IS53 9068 0467 8873 3572 8989 87,807.00,OnlineBanking,2022-06-03 00:00:00+05:30,2022-05-17 00:00:00+05:30,669,3
371,"",HR72 6081 4910 6181 4152 2,175.00,CreditCard,2023-03-03 00:00:00+05:30,2022-10-05 00:00:00+05:30,357,2
372,"",FR89 0070 1975 85TW QYEX SM4E 455,532.00,OnlineBanking,2023-02-10 00:00:00+05:30,2022-06-03 00:00:00+05:30,594,1
